id,title,release_date,vote_average,vote_count,budget,revenue,runtime,tagline,adult,production_companies,countries,language
575186,The Companions of Baal,1970-06-11,7.0,1,0,0,350,,False,['ORTF'],['France'],fr
1369909,Kaun Ho Tum,1970-01-01,0.0,0,0,0,0,,False,['Suresh Pictures'],['India'],hi
1309191,The Raven,1970-01-01,0.0,0,0,0,5,,False,['Busam & Krummen Productions'],['United States of America'],en
1287090,Monkey on Their Backs,1970-01-01,0.0,0,0,0,1,Why do you think they call it DOPE?,False,['National Clearinghouse for Alcohol and Drug Abuse Information'],[],en
1260195,Zombie Door,1970-01-01,0.0,0,0,0,1,,False,[],['United States of America'],en
1249125,"Scream, Evelyn, Scream!",1970-01-01,0.0,0,0,0,0,An innocent date becomes an evening of terror!,False,[],[],en
1249119,Beast,1970-01-01,0.0,0,0,0,0,,False,[],['Cambodia'],km
1179867,Broken Coffin,1970-01-01,0.0,0,0,0,0,,False,[],['Thailand'],th
1158248,Nightmare,1970-01-01,0.0,0,0,0,90,,False,[],"['China', 'Taiwan']",zh
1140968,Phobus - Ministro do Diabo,1970-01-01,0.0,0,0,0,0,,False,[],['Brazil'],pt
1008293,Konečná,1970-01-01,0.0,0,0,0,0,,False,['FAMU'],['Czechoslovakia'],cs
839552,Puaka,1970-01-01,0.0,0,0,0,0,,False,[],"['Malaysia', 'Singapore']",ms
752825,The Demon,1970-01-01,0.0,0,0,0,19,,False,[],['United States of America'],en
690799,Horrors from the ID!,1970-01-01,0.0,0,0,0,8,,False,[],[],en
608309,Nightmares,1970-01-01,0.0,0,0,0,30,,False,"['Československá televize Praha', 'Krátký film Praha']",['Czechoslovakia'],cs
607994,Daughter of Satan,1970-01-01,2.0,1,0,0,55,,False,"['Janus II Productions', 'Academy Productions']",['United States of America'],en
483256,Les dieux en colère,1970-01-01,0.0,0,0,0,52,,False,[],['France'],fr
436008,Madam Satan,1970-01-01,1.0,1,0,0,59,,False,"['Alpha Blue Archives', 'F&G', 'After Hours Cinema']",['United States of America'],en
321725,Revenge of a Mother,1970-01-01,0.0,0,0,0,0,,False,[],['South Korea'],ko
321724,The Legend of Departed Soul,1970-01-01,0.0,0,0,0,0,,False,[],['South Korea'],ko
213212,Janie,1970-01-01,4.556,9,0,0,65,Her lovers went from bed... to dead,False,"['Janie Film Company', 'Cinex International Film Distributors', 'Alpha Blue Archives']",['United States of America'],en
105004,The Magic World of Watari,1970-01-01,0.0,0,0,0,100,,False,['Toei Company'],"['Taiwan', 'Japan']",zh
98887,Sex and the Single Vampire,1970-01-01,4.2,6,0,0,54,,False,[],[],en
97985,The Dead Can't Talk,1970-01-01,5.7,3,0,0,76,,False,['Objektif Film'],['Turkey'],tr
95559,The Last Step Down,1970-01-01,2.0,3,0,0,80,No one takes the last step down... they have to be pushed,False,[],['United States of America'],en
92319,Dream No Evil,1970-01-01,5.632,19,0,0,84,A Nightmare of Unexpected Terror!,False,"['Clover Films', 'VCI Home Video']",['United States of America'],en
86665,The Monsters of Babaloo,1970-01-01,6.6,9,0,0,98,,False,[],['Brazil'],pt
52949,An Evening of Edgar Allan Poe,1970-01-01,7.4,33,0,0,54,A diabolical quartet of HORRIFYING Evil!,False,"['American-International Television (AIP-TV)', 'Ken Johnson Productions', 'American International Pictures']",['United States of America'],en
29210,Hollywood Horror House,1970-01-01,5.4,16,0,0,91,She loved and trusted him until he cut off her head.,False,['Congdon Productions'],['United States of America'],en
255537,Ashes of Doom,1970-01-04,4.7,6,0,0,2,,False,['ONF | NFB'],['Canada'],en
104713,The Ravager,1970-01-14,4.313,8,0,0,76,Just When You Thought You've Seen It All… You'll Be Shocked And Excited When You See THE RAVAGER Doing,False,['Green Dolphin Productions'],['United States of America'],en
65891,The Dunwich Horror,1970-01-14,5.4,112,0,446400,88,A few years ago in Dunwich a half-witted girl bore illegitimate twins. One of them was almost human!,False,['American International Pictures'],['United States of America'],en
1151493,Mae Nak Phra Nakhon,1970-01-23,0.0,0,0,0,0,,False,[],['Thailand'],th
340554,Skin to Skin,1970-01-23,4.0,4,0,0,73,,False,[],['Germany'],de
114584,Torture Dungeon,1970-01-23,4.107,14,15000,0,80,They were meticulous in the art of MUTILATION and MURDER!,False,['Constitution Films'],['United States of America'],en
88374,Bloodthirsty Butchers,1970-01-23,3.389,18,18000,0,79,Their prime cuts were curiously erotic...but thoroughly brutal! Sadism was just an appetizer for the Bloodthirsty Butchers!,False,['Constitution Films'],"['United Kingdom', 'United States of America']",en
334038,"Torture Me, Kiss Me",1970-01-30,2.0,1,0,0,75,,False,['Haverland Film Productions'],['United States of America'],en
29416,Horror of the Blood Monsters,1970-02-01,3.2,35,0,0,85,You'll scream yourself into a state of shock!,False,"['Independent International Pictures (I-I)', 'Tal Productions']",['United States of America'],en
42594,Scream and Scream Again,1970-02-02,5.302,101,0,0,95,TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!,False,"['American International Pictures', 'Warner-Pathé Distributors', 'Amicus Productions']",['United Kingdom'],en
77165,And God Said to Cain,1970-02-05,6.6,55,0,0,101,The darkest western ever made,False,"['Produziones DC 7', 'D.C. 7 Produzione', 'Peter Carsten Produktion']","['Germany', 'Italy']",it
42591,The Bloody Judge,1970-02-05,4.949,43,0,0,84,Horror Will Hold You Helpless!,False,"['Prodimex Film', 'Towers of London Productions', 'Terra-Filmkunst', 'C. Fénix Films']","['Liechtenstein', 'Italy', 'Spain', 'Germany']",it
99855,Witchcraft '70,1970-02-07,5.3,7,0,0,95,Unbelievable! Unspeakable! Unbearable!,False,"['Caravel, P.A.C.']",['Italy'],it
319641,Mystery and Terror,1970-02-08,0.0,0,0,0,0,,False,['Viltra Productions'],['Philippines'],en
1305514,The Suicide Club,1970-02-09,0.0,0,0,0,75,,False,[],[],en
62108,"Mumsy, Nanny, Sonny & Girly",1970-02-12,6.1,39,0,0,102,Everyone is dying to meet Girly,False,"['Ronald J. Kahn Productions', 'Brigitte', 'Fitzroy Films Ltd.']",['United Kingdom'],en
458472,Sweeney Todd,1970-02-16,0.0,0,0,0,75,,False,[],[],en
87472,Cauldron of Blood,1970-02-16,4.3,16,0,0,95,Tops In Total Horror!,False,"['Producciones Cinematográficas Hispamer Films', 'Robert D. Weinbach Productions', 'The Cannon Group', 'Tigon']","['Spain', 'United Kingdom', 'United States of America']",en
319673,Followers of Satan,1970-02-17,0.0,0,0,0,0,Can the power of the Devil… bring the dead back to life?,False,['Regina Productions'],['Philippines'],tl
39931,Mark of the Devil,1970-02-19,6.2,103,0,0,96,Positively the most horrifying film ever made,False,"['Atlas International Film', 'Aquila Film Enterprises', 'HIFI Stereo 70 Kg']",['Germany'],de
264948,The Naked Wytche,1970-02-20,2.5,4,0,0,82,A bedtime story for grownups under 80.,False,['Pohland Produktion'],['Germany'],de
87503,Eugenie,1970-02-20,4.8,51,0,0,87,...the story of her journey into perversion,False,"['Video-Tel International Productions', 'Hape Film', 'Balcázar']","['Germany', 'Liechtenstein', 'Spain']",es
326307,Nosferato in Brazil,1970-02-22,3.5,6,0,0,27,Mythical masterpiece,False,[],['Brazil'],pt
752350,Curse of the Mummy,1970-02-23,0.0,0,0,0,76,,False,"['Thames Television', 'ITV Studios']",['United Kingdom'],en
335034,Ritual of Evil,1970-02-23,5.8,10,0,0,98,,False,['Universal Television'],['United States of America'],en
3216,Assignment Terror,1970-02-24,5.1,45,0,0,87,,False,"['Eichberg-Film', 'International Jaguar Cinematografica', 'Producciones Jaime Prades']","['Germany', 'Spain', 'Italy']",es
20345,The Bird with the Crystal Plumage,1970-02-27,7.15,794,500000,0,96,All the screaming in the world won't help!,False,"['Seda Spettacoli', 'CCC Filmkunst']","['Germany', 'Italy']",it
107121,Bizarre,1970-03-01,4.143,14,0,0,92,An Erotic and Horrifying Journey Into the Mind of the Undead,False,"['Balch', 'Noteworthy Films']",['United Kingdom'],en
